ID;NAME;PREFIXES AS URL;INDEGREE;TOTAL KNOWN PAGES;CRAWLED PAGES;STATUS;LAST MODIFICATION DATE
79;Mnhn.fr;http://mnhn.fr http://www.mnhn.fr https://mnhn.fr https://www.mnhn.fr;1;2;0;DISCOVERED;2021-10-21T08:19:57.420Z
81;Silene.eu;http://silene.eu http://www.silene.eu https://silene.eu https://www.silene.eu;1;1;0;DISCOVERED;2021-10-21T08:20:01.767Z
82;s:http|h:mersansplastique|;http://mersansplastique http://www.mersansplastique https://mersansplastique https://www.mersansplastique;1;1;0;DISCOVERED;2021-10-21T08:20:11.120Z
83;Legifrance.gouv.fr;http://legifrance.gouv.fr http://www.legifrance.gouv.fr https://legifrance.gouv.fr https://www.legifrance.gouv.fr;1;2;0;DISCOVERED;2021-10-21T08:20:14.420Z
84;Visitvar.fr;http://visitvar.fr http://www.visitvar.fr https://visitvar.fr https://www.visitvar.fr;1;1;0;DISCOVERED;2021-10-21T08:20:14.420Z
85;Fol83Laligue.org;http://fol83laligue.org http://www.fol83laligue.org https://fol83laligue.org https://www.fol83laligue.org;1;1;0;DISCOVERED;2021-10-21T08:20:43.324Z
86;Igesa.fr;http://igesa.fr http://www.igesa.fr https://igesa.fr https://www.igesa.fr;1;1;0;DISCOVERED;2021-10-21T08:20:43.324Z
87;Domainedurayol.org;http://domainedurayol.org http://www.domainedurayol.org https://domainedurayol.org https://www.domainedurayol.org;1;2;0;DISCOVERED;2021-10-21T08:21:18.074Z
88;Actavista.fr;http://actavista.fr http://www.actavista.fr https://actavista.fr https://www.actavista.fr;1;1;0;DISCOVERED;2021-10-21T08:21:55.382Z
89;Association-Tremplin.org;http://association-tremplin.org http://www.association-tremplin.org https://association-tremplin.org https://www.association-tremplin.org;1;1;0;DISCOVERED;2021-10-21T08:21:55.382Z
90;Sauvegardedesforetsvaroises.com;http://sauvegardedesforetsvaroises.com http://www.sauvegardedesforetsvaroises.com https://sauvegardedesforetsvaroises.com https://www.sauvegardedesforetsvaroises.com;1;1;0;DISCOVERED;2021-10-21T08:21:55.382Z
